"id","co2","temperature","humidity","pressure","smoke","sound","node","timestamp"
1,895,"-14.012739473268248","61.31629095575435","821.202855941859",True,True,1,"2024-09-30 03:04:30.975+00"
2,4,"-16.923715433203082","91.16917582448862","1050.7067881986284",False,False,2,"2024-09-30 03:05:00.972+00"
3,330,"19.809166640062443","23.247970058761602","799.6509425774495",False,False,3,"2024-09-30 03:05:30.993+00"
4,644,"-27.430381578116688","1.0192004090385787","783.2009798762911",False,False,4,"2024-09-30 03:06:01.002+00"
5,921,"75.36797163735737","53.878992975213166","1012.7895838575794",False,True,5,"2024-09-30 03:06:31.026+00"
6,186,"46.27995246622905","10.60134791850258","501.0498925205645",True,True,6,"2024-09-30 03:07:01.04+00"
7,114,"-15.6651006246993","10.808184320487314","662.3676633578896",False,False,7,"2024-09-30 03:07:31.065+00"
8,465,"15.365591205226941","75.32824007022963","373.6271523802312",True,False,8,"2024-09-30 03:08:01.089+00"
9,875,"-13.09842617016701","15.419671433376369","1077.6719960320884",False,False,9,"2024-09-30 03:08:31.114+00"
10,350,"-13.083107413517055","62.63715433024948","764.0022289045024",True,False,4,"2024-09-30 03:09:01.137+00"
11,1007,"73.70288563255076","85.60306802381092","833.4061239982793",True,True,5,"2024-09-30 15:09:31.15+00"
12,617,"29.608577970202646","62.4345486521283","750.4898553536104",False,False,3,"2024-09-30 15:10:01.17+00"
13,264,"-11.87125330854282","90.74497911091272","783.0326360756833",True,False,7,"2024-09-30 15:10:31.19+00"
14,90,"-29.43218868550592","91.63159028388499","746.6434902894039",True,True,2,"2024-09-30 15:11:01.215+00"
15,34,"82.46328338293513","30.212637738680836","644.1531038719331",False,True,7,"2024-09-30 15:11:31.231+00"
16,832,"17.544102910944915","23.58469486284367","414.34435143444244",True,True,5,"2024-09-30 15:12:01.256+00"
17,639,"41.54482762820375","77.60354273418726","911.9333872500483",True,True,6,"2024-09-30 15:12:31.279+00"
18,929,"-17.475057340246202","39.353092152898085","630.3675782523723",True,True,1,"2024-09-30 15:13:01.304+00"
19,874,"5.595236749313763","65.86443570392176","691.983356679327",False,True,6,"2024-09-30 15:13:31.328+00"
20,420,"66.76236701802877","36.956702786389606","722.094060172796",True,False,4,"2024-09-30 15:14:01.352+00"
21,215,"1.8779731535002782","34.585180533943614","611.3390382106584",True,False,2,"2024-09-30 15:14:31.37+00"
22,861,"33.420544602388816","30.217123611661755","976.177026108207",True,False,5,"2024-09-30 15:15:01.395+00"
23,554,"28.652741008632916","2.162063289953098","1034.1328993400489",False,False,6,"2024-09-30 15:15:31.419+00"
24,962,"-35.96544490022271","67.94562735932692","874.5945999122606",True,True,2,"2024-09-30 15:16:01.443+00"
25,89,"12.593356120017006","98.8247216291509","899.1572532590455",False,True,5,"2024-09-30 15:16:31.467+00"
26,326,"6.572558374884579","36.43957765370993","574.5030723500346",False,True,7,"2024-09-30 15:17:01.49+00"
27,299,"39.21976369896147","89.74016966415851","970.4137388755864",True,True,4,"2024-09-30 15:17:31.514+00"
